ID;mes;data_criacao;origem_do_lead;utm_source_form;utm_campaign_form;Detalhe da origem do lead form;Status Sirena;utm_source_bucket;Detalhe_bucket;Status do lead;Status Sirena_bucket;Status_bucket;detalhe_origem_lead;Proprietario_do_lead;propietario_do_bucket;proprietario_da_oportunidade;grupo;pais
1;8;08/03/2022;Inbound;;;;First Mandatory Interaction;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;CA
2;7;19/07/2022;Inbound;(Google, adwords);(Google-Search-Keywords-Mexico-Expansion-Desktop-SelfService, );;Suggested Apps;paid media;Outros;Entrada;Outros;Outros;;Sirena SDR Team;Sirena SDR Team;;NAM;CA
3;7;28/07/2022;Inbound;;;;First Mandatory Interaction;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;CA
4;9;22/09/2022;Inbound;;;;Channels Selection;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Salesforce Integra√ß√£o;Outros;;NAM;US
5;9;23/09/2022;Inbound;google;google_conv_saas-conversion_-_search_cpc_united_states_none_en-us_desk;;Suggested Apps;paid media;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Salesforce Integra√ß√£o;Outros;;NAM;US
6;9;23/09/2022;Inbound;google;google_conv_saas-conversion_expansion_search_cpc_mexico_none_sp-la_desk;;WhatsApp Validated;paid media;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Salesforce Integra√ß√£o;Outros;;NAM;US
7;9;28/09/2022;Inbound;google;google_conv_saas-conversion_-_search_cpc_latam_none_sp-la_desk;;Suggested Apps;paid media;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Salesforce Integra√ß√£o;Outros;;NAM;US
8;9;29/09/2022;Inbound;;;;First Mandatory Interaction;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Salesforce Integra√ß√£o;Outros;;NAM;US
9;9;30/09/2022;Inbound;google;google_conv_saas-conversion_expansion_search_cpc_mexico_none_sp-la_desk;;Suggested Apps;paid media;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Salesforce Integra√ß√£o;Outros;;NAM;US
10;9;09/06/2022;Inbound;;;;First Mandatory Interaction;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
11;9;09/07/2022;Inbound;google;google_conv_saas-conversion_sitelink_search_cpc_-_-_sp-la_-;;Business Profile;paid media;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
12;9;09/08/2022;Inbound;;;;First Mandatory Interaction;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
13;9;09/08/2022;Inbound;;;;Suggested Apps;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
14;9;09/09/2022;Inbound;;;;First Mandatory Interaction;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
15;9;09/10/2022;Inbound;;;;Suggested Apps;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
16;9;09/12/2022;Inbound;;;;First Mandatory Interaction;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
17;9;14/09/2022;Inbound;;;;Suggested Apps;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
18;9;15/09/2022;Inbound;organic;organic;;Channels Selection;organic;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
19;9;15/09/2022;Inbound;;;;Channels Selection;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
20;9;15/09/2022;Inbound;;;;First Mandatory Interaction;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
21;9;20/09/2022;Inbound;google;google_conv_saas-conversion_-_search_cpc_latam_none_sp-la_desk;;First Mandatory Interaction;paid media;Formul·rio - Plataforma Sirena | Self Se;Entrada;Oportunidade;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
22;8;08/03/2022;Inbound;;;;Suggested Apps;Outros;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
23;8;08/05/2022;Inbound;google;google_conv_saas-conversion_-_search_cpc_latam_none_sp-la_desk;;Business Profile;paid media;Formul·rio - Plataforma Sirena | Self Se;Entrada;Outros;Outros;Formul·rio - Plataforma Sirena | Self Service;Sirena SDR Team;Sirena SDR Team;;NAM;US
